,,Pais,Liga,Jogador,Time,Temporada,ass,gols,rank,Ano_inicio
287,,Ivory Coast,Premier_league,Lamine Koné,Sunderland AFC,2016-2017,0,1,,2016
288,,Senegal,Premier_league,Cheikhou Kouyaté,West Ham United,2016-2017,0,1,,2016
289,,England,Premier_league,Grant Leadbitter,Middlesbrough FC,2016-2017,0,1,,2016
290,,Wales,Premier_league,Andy King,Leicester City,2016-2017,0,1,,2016
291,,Tunisia,Premier_league,Wahbi Khazri,Sunderland AFC,2016-2017,0,1,,2016
292,,Colombia,Premier_league,Juan Zúñiga,Watford FC,2016-2017,0,1,,2016
293,,Japan,Premier_league,Maya Yoshida,Southampton FC,2016-2017,0,1,,2016
294,,England,Premier_league,Billy Jones,Sunderland AFC,2016-2017,0,1,,2016
295,,England,Premier_league,Fraizer Campbell,Crystal Palace,2016-2017,0,1,,2016
296,,England,Premier_league,Sam Byram,West Ham United,2016-2017,1,0,,2016
297,,Algeria,Premier_league,Adlène Guédioura,Middlesbrough FCWatford FC,2016-2017,1,0,,2016
298,,Jamaica,Premier_league,Lewis Grabban,AFC Bournemouth,2016-2017,1,0,,2016
299,,England,Premier_league,Kieran Gibbs,Arsenal FC,2016-2017,1,0,,2016
300,,England,Premier_league,Craig Gardner,West Bromwich Albion,2016-2017,1,0,,2016
301,,England,Premier_league,Mason Holgate,Everton FC,2016-2017,1,0,,2016
302,,Spain,Premier_league,Joel,Everton FC,2016-2017,1,0,,2016
303,,England,Premier_league,Jonathan Leko,West Bromwich Albion,2016-2017,1,0,,2016
304,,South Korea,Premier_league,Chung-yong Lee,Crystal Palace,2016-2017,1,0,,2016
305,,Sweden,Premier_league,Sebastian Larsson,Sunderland AFC,2016-2017,1,0,,2016
306,,South Korea,Premier_league,Sung-yueng Ki,Swansea City,2016-2017,1,0,,2016
307,,Argentina,Premier_league,Ramiro Funes Mori,Everton FC,2016-2017,1,0,,2016
308,,England,Premier_league,Ezekiel Fryers,Crystal Palace,2016-2017,1,0,,2016
309,,England,Premier_league,Nathaniel Chalobah,Chelsea FC,2016-2017,1,0,,2016
310,,Northern Ireland,Premier_league,Craig Cathcart,Watford FC,2016-2017,1,0,,2016
311,,USA,Premier_league,Geoff Cameron,Stoke City,2016-2017,1,0,,2016
312,,Spain,Premier_league,Alberto Moreno,Liverpool FC,2016-2017,1,0,,2016
313,,England,Premier_league,Nathan Dyer,Swansea City,2016-2017,1,0,,2016
314,,Egypt,Premier_league,Mohamed El Neny,Arsenal FC,2016-2017,1,0,,2016
